update_step,average_reward,policy_loss,value_loss,entropy,clip_fraction,buffer_size
2290,-202.6140703231412,-0.050821732343571534,183.100609425136,11.027262398456061,0.0,371
6216,-211.4828073518364,-0.04688046480000604,186.7852780256321,11.027262398456061,0.0,689
10226,-214.13391949667715,-0.042803829204454476,186.54973767777574,10.791487760508442,0.0,1000
14336,-213.936615641662,-0.03379366075087964,184.72706214189523,8.904226690812008,0.0,1306
16913,-208.6947729196581,-0.029827748343941328,181.3707883366752,7.968638545376292,0.0,1560
19318,-203.75402349625838,-0.029876560756820686,171.4658780684597,7.900946616511385,0.0,1736
22438,-206.36804259364416,-0.02686176808653474,170.50437740343344,7.382604868259336,0.0,2120
25574,-208.63483063517197,-0.024146396246384823,173.65544790480897,6.973767243658609,0.0,2554
15072,-206.18307658571774,-0.02227363685850793,171.4883494946384,6.689122847825626,0.0,2406
13074,-202.60939835594857,-0.018531364224144496,166.9588877116933,5.789615334864162,0.0,2633
10485,-205.06400767651286,-0.016721395551585576,168.27142218526205,5.364862400744882,0.0,2865
8762,-204.96640473027878,-0.01613906467816655,169.10201861732892,5.246209771394523,0.0,3144
5972,-206.37072722414558,-0.015697494680185338,168.44480497572158,5.152262398456069,0.0,3385
2721,-190.54914514534045,-0.015226800103794761,152.4545087337494,5.027262398456073,0.0,3466
1201,-181.88213497507735,-0.015226830515088816,150.8482493809291,5.027262398456073,0.0,3498
518,-167.43774049265542,-0.015226888769523739,127.89098307291665,5.027262398456073,0.0,3526
375,-178.11357944404784,-0.015226952747019042,124.61476593017578,5.027262398456073,0.0,3822
