update_step,average_reward,policy_loss,value_loss,entropy,clip_fraction,buffer_size
2466,-192.70924932617046,-0.0510416921709405,181.54736812759492,11.027262398456061,0.0,335
7914,-197.16883409775104,-0.04889859888991255,181.92723549537777,11.027262398456061,0.0,502
17515,-199.658652458148,-0.04725733035280933,182.02216249626846,10.941005813527807,0.0,622
32242,-202.56423992717754,-0.044714374304799825,184.3302189275058,10.450876591681157,0.0,713
52950,-203.6699007711146,-0.04301598447846215,184.31878136271553,10.165664258034258,0.0,813
