update_step,average_reward,policy_loss,value_loss,entropy,clip_fraction,buffer_size
1782,-204.18360452853722,-0.05049551930652822,177.70192348744607,11.027262398456061,0.0,408
4822,-198.22628734439445,-0.047078459162341234,172.61547319285094,11.027262398456061,0.0,674
8528,-195.8422466496165,-0.0442399608732972,168.02713645874186,11.027262398456061,0.0,936
12769,-201.02217700111927,-0.04102332844228333,169.45646768900053,11.027262398456061,0.0,1271
16177,-200.96376448688537,-0.038379328464404304,166.73361307740777,11.027262398456061,0.0,1576
20194,-204.8009399196451,-0.03502338996305538,170.41890770399354,11.027262398456061,0.0,1958
23741,-206.75651473798757,-0.032277986074845104,172.58989037286676,11.027262398456061,0.0,2311
26516,-210.06717513510114,-0.029481926151450573,174.6304925336839,11.027262398456061,0.0,2723
17195,-206.02888368418738,-0.02989368648088359,169.98487636509222,11.027262398456061,0.0,2635
13306,-204.84109981866493,-0.028852370720828278,168.94478736646246,11.027262398456061,0.0,2757
