update_step,average_reward,policy_loss,value_loss,entropy,clip_fraction,buffer_size
2123,-205.12850253101027,-0.05054972811858542,181.7963048340845,11.027262398456061,0.0,395
5474,-202.92205713512647,-0.04677349559047467,176.68500880235578,11.027262398456061,0.0,697
9581,-208.18034437973657,-0.04286816274334556,177.93752621494903,10.772410929737184,0.0,988
13715,-213.47663564991652,-0.0352248700797902,181.27411331185172,9.112020109849778,0.0,1253
17480,-213.87062714893352,-0.0312591558665506,180.83955560237817,8.267007069810964,0.0,1540
20211,-208.80298814510755,-0.02874408321348245,175.43182334982473,7.759210439752686,0.0,1783
22838,-213.7310072807894,-0.02587072064568552,180.18860535160195,7.25776929982353,0.0,2156
25171,-214.0899446395359,-0.02313780571750667,181.12120195222116,6.692116759471678,0.0,2478
16026,-216.17253931309605,-0.022184040261855727,181.50030912893783,6.506817952316196,0.0,2425
13591,-211.23686587436026,-0.020565816393449836,176.25851542881557,6.142690961982761,0.0,2657
10712,-205.41588569168297,-0.019707378460157098,172.07380099719077,6.020680114180575,0.0,2746
7394,-205.3815023423214,-0.019086076414215575,170.52520281718327,5.905339323183579,0.0,2912
4425,-202.9520723368106,-0.01796839212663672,166.20734766642252,5.6952623812899335,0.0,3018
1833,-202.52986998021987,-0.01675460503696657,165.34686244084287,5.4149547215538885,0.0,2888
1148,-209.67561710951688,-0.015226981331138242,173.9650405883789,5.027262398456073,0.0,3350
688,-211.2931599443877,-0.015226836124332423,175.4368434906006,5.027262398456073,0.0,3510
190,-218.49057132845303,-0.015226958713304286,185.25692749023438,5.027262398456073,0.0,3876
